Código da Regional,Município,Componente Curricular,Rede,Etapa,Previstos,Avaliados,Avaliados (%),Proficiência Média,Defasagem,Aprendizado intermediário,Aprendizado adequado,H 01 (%),H 02 (%),H 03 (%),H 04 (%),H 05 (%),H 06 (%),H 07 (%),H 08 (%),H 09 (%),H 10 (%),H 11 (%),H 12 (%),H 13 (%),H 14 (%),H 15 (%),H 16 (%),H 17 (%),H 18 (%),H 19 (%),H 20 (%),H 21 (%),H 22 (%),H 23 (%)
1,AQUIRAZ,Língua Portuguesa,MUNICIPAL,2º ANO,1122,1059,94,69,17,28,55,75,65,79,91,82,77,85,47,69,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAUCAIA,Língua Portuguesa,MUNICIPAL,2º ANO,3920,3565,91,49,35,34,31,54,53,68,81,72,68,78,36,59,42,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EUSEBIO,Língua Portuguesa,MUNICIPAL,2º ANO,888,818,92,71,14,28,58,77,67,78,95,87,81,90,46,72,42,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GUAIUBA,Língua Portuguesa,MUNICIPAL,2º ANO,281,256,91,55,29,36,35,66,52,73,87,76,74,84,32,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ITAITINGA,Língua Portuguesa,MUNICIPAL,2º ANO,700,620,89,54,32,31,37,59,54,69,86,71,71,80,41,61,40,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MARACANAU,Língua Portuguesa,MUNICIPAL,2º ANO,2905,2,0,0,100,0,0,0,0,50,25,0,50,0,17,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MARANGUAPE,Língua Portuguesa,MUNICIPAL,2º ANO,1070,1010,94,59,24,34,42,64,59,73,88,78,73,83,40,65,41,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PACATUBA,Língua Portuguesa,MUNICIPAL,2º ANO,860,765,89,50,34,34,32,60,53,71,84,73,68,76,33,57,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AQUIRAZ,Língua Portuguesa,MUNICIPAL,4º ANO,1195,1139,95,64,26,23,51,69,67,62,50,44,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAUCAIA,Língua Portuguesa,MUNICIPAL,4º ANO,4201,3799,90,53,38,23,39,60,58,57,45,39,60,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EUSEBIO,Língua Portuguesa,MUNICIPAL,4º ANO,990,949,96,74,17,20,63,77,72,69,57,49,78,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GUAIUBA,Língua Portuguesa,MUNICIPAL,4º ANO,342,309,90,63,27,24,49,67,68,62,46,41,69,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ITAITINGA,Língua Portuguesa,MUNICIPAL,4º ANO,707,634,90,58,35,21,44,63,66,60,46,40,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MARACANAU,Língua Portuguesa,MUNICIPAL,4º ANO,3057,92,3,63,34,9,58,69,63,62,52,40,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MARANGUAPE,Língua Portuguesa,MUNICIPAL,4º ANO,1168,1077,92,63,28,24,48,68,66,62,52,43,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PACATUBA,Língua Portuguesa,MUNICIPAL,4º ANO,989,941,95,57,35,22,44,66,62,59,47,39,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AQUIRAZ,Língua Portuguesa,MUNICIPAL,5º ANO,991,955,96,66,23,22,55,66,74,65,41,62,70,78,75,63,50,47,89,0,0,0,0,0,0,0,0,0,0,0
1,CAUCAIA,Língua Portuguesa,MUNICIPAL,5º ANO,3765,3487,93,54,34,25,40,55,64,56,39,58,62,70,65,52,35,36,82,0,0,0,0,0,0,0,0,0,0,0
1,EUSEBIO,Língua Portuguesa,MUNICIPAL,5º ANO,1039,993,96,75,14,21,65,70,79,72,44,65,76,87,78,68,57,49,94,0,0,0,0,0,0,0,0,0,0,0
1,GUAIUBA,Língua Portuguesa,MUNICIPAL,5º ANO,298,284,95,64,23,26,51,68,74,62,41,60,66,79,72,59,49,52,87,0,0,0,0,0,0,0,0,0,0,0
1,ITAITINGA,Língua Portuguesa,MUNICIPAL,5º ANO,644,581,90,61,28,23,50,62,72,59,39,61,64,76,68,57,44,40,88,0,0,0,0,0,0,0,0,0,0,0
1,MARACANAU,Língua Portuguesa,MUNICIPAL,5º ANO,2812,2220,79,66,24,21,55,63,71,63,40,62,70,78,74,61,49,43,86,0,0,0,0,0,0,0,0,0,0,0
1,MARANGUAPE,Língua Portuguesa,MUNICIPAL,5º ANO,1030,896,87,63,26,25,49,62,68,64,44,62,68,78,72,60,39,42,85,0,0,0,0,0,0,0,0,0,0,0
1,PACATUBA,Língua Portuguesa,MUNICIPAL,5º ANO,805,751,93,62,27,23,50,62,69,64,41,61,66,76,71,60,40,43,88,0,0,0,0,0,0,0,0,0,0,0
1,AQUIRAZ,Língua Portuguesa,MUNICIPAL,8º ANO,1085,990,91,36,54,24,22,60,59,52,67,51,53,65,65,66,32,58,25,29,56,51,74,0,0,0,0,0,0,0
1,CAUCAIA,Língua Portuguesa,MUNICIPAL,8º ANO,4433,4017,91,39,49,30,22,65,61,49,77,44,54,67,71,76,38,62,26,26,62,44,83,0,0,0,0,0,0,0
1,EUSEBIO,Língua Portuguesa,MUNICIPAL,8º ANO,1040,979,94,55,30,30,40,75,70,56,84,56,64,76,78,86,36,74,29,41,68,58,89,0,0,0,0,0,0,0
1,GUAIUBA,Língua Portuguesa,MUNICIPAL,8º ANO,309,277,90,46,37,35,27,73,65,54,87,52,60,70,73,83,35,66,25,32,65,51,86,0,0,0,0,0,0,0
1,ITAITINGA,Língua Portuguesa,MUNICIPAL,8º ANO,667,578,87,46,40,31,29,69,67,52,81,52,60,72,72,80,32,65,28,30,66,58,82,0,0,0,0,0,0,0
1,MARACANAU,Língua Portuguesa,MUNICIPAL,8º ANO,3038,255,8,53,33,28,38,74,69,53,85,57,62,74,79,82,39,70,24,30,74,62,87,0,0,0,0,0,0,0
1,MARANGUAPE,Língua Portuguesa,MUNICIPAL,8º ANO,1197,1065,89,49,33,36,31,73,68,57,86,49,64,70,77,85,37,71,27,31,67,51,88,0,0,0,0,0,0,0
1,PACATUBA,Língua Portuguesa,MUNICIPAL,8º ANO,861,808,94,40,47,31,22,66,63,50,80,45,55,70,72,79,37,62,26,24,62,44,86,0,0,0,0,0,0,0
1,AQUIRAZ,Língua Portuguesa,MUNICIPAL,9º ANO,1128,1032,91,43,44,24,32,78,73,47,71,52,64,78,63,73,31,77,65,43,63,76,50,79,0,0,0,0,0,0
1,CAUCAIA,Língua Portuguesa,MUNICIPAL,9º ANO,4272,3909,92,43,43,26,31,82,77,48,64,53,69,76,57,83,34,83,59,39,59,75,52,80,0,0,0,0,0,0
1,EUSEBIO,Língua Portuguesa,MUNICIPAL,9º ANO,1129,1051,93,58,25,28,47,90,87,53,81,61,73,85,66,91,41,90,76,48,68,85,57,88,0,0,0,0,0,0
1,GUAIUBA,Língua Portuguesa,MUNICIPAL,9º ANO,298,275,92,53,33,27,40,93,83,55,81,57,74,78,66,93,38,89,66,43,61,81,57,82,0,0,0,0,0,0
1,ITAITINGA,Língua Portuguesa,MUNICIPAL,9º ANO,714,637,89,50,33,27,39,87,82,49,73,62,73,80,61,85,33,84,70,40,63,78,54,84,0,0,0,0,0,0
1,MARACANAU,Língua Portuguesa,MUNICIPAL,9º ANO,3288,2806,85,49,36,28,36,85,82,50,67,57,71,78,62,84,36,84,66,42,61,80,54,85,0,0,0,0,0,0
1,MARANGUAPE,Língua Portuguesa,MUNICIPAL,9º ANO,1250,1137,91,49,35,29,36,87,84,51,70,57,71,80,64,86,37,87,61,40,63,79,54,85,0,0,0,0,0,0
1,PACATUBA,Língua Portuguesa,MUNICIPAL,9º ANO,847,799,94,48,38,27,35,87,85,49,68,57,71,80,62,88,31,86,60,38,62,81,54,82,0,0,0,0,0,0
1,AQUIRAZ,Matemática,MUNICIPAL,2º ANO,1123,1058,94,67,12,32,56,71,71,88,82,77,70,73,66,94,79,73,0,0,0,0,0,0,0,0,0,0,0,0
1,CAUCAIA,Matemática,MUNICIPAL,2º ANO,3918,3556,91,47,28,42,30,61,59,79,73,68,54,60,57,83,62,57,0,0,0,0,0,0,0,0,0,0,0,0
1,EUSEBIO,Matemática,MUNICIPAL,2º ANO,887,816,92,66,11,34,55,70,74,88,82,76,71,72,63,95,81,72,0,0,0,0,0,0,0,0,0,0,0,0
1,GUAIUBA,Matemática,MUNICIPAL,2º ANO,281,253,90,58,19,40,42,68,69,85,76,71,70,67,53,90,73,65,0,0,0,0,0,0,0,0,0,0,0,0
1,ITAITINGA,Matemática,MUNICIPAL,2º ANO,701,619,88,48,31,37,32,62,58,76,74,68,52,58,59,85,64,61,0,0,0,0,0,0,0,0,0,0,0,0
1,MARACANAU,Matemática,MUNICIPAL,2º ANO,2905,3,0,3,100,0,0,17,17,17,33,33,17,50,33,33,83,33,0,0,0,0,0,0,0,0,0,0,0,0
1,MARANGUAPE,Matemática,MUNICIPAL,2º ANO,1070,983,92,57,20,39,41,67,65,84,76,72,62,67,60,88,70,65,0,0,0,0,0,0,0,0,0,0,0,0
1,PACATUBA,Matemática,MUNICIPAL,2º ANO,861,770,89,49,27,44,29,59,61,81,75,68,53,60,54,88,68,59,0,0,0,0,0,0,0,0,0,0,0,0
1,AQUIRAZ,Matemática,MUNICIPAL,4º ANO,1197,1142,95,53,35,26,40,66,60,59,36,49,42,75,67,72,71,45,69,0,0,0,0,0,0,0,0,0,0,0
1,CAUCAIA,Matemática,MUNICIPAL,4º ANO,4193,3809,91,37,50,26,23,56,43,49,30,44,36,69,54,64,61,32,63,0,0,0,0,0,0,0,0,0,0,0
1,EUSEBIO,Matemática,MUNICIPAL,4º ANO,992,937,94,54,33,26,41,67,63,58,37,52,47,75,67,72,74,42,64,0,0,0,0,0,0,0,0,0,0,0
