Município,Etapa,Componente Curricular,Previstos,Avaliados,Avaliados (%) entre os previstos,Proficiência média,Proficiência média 2022,Não alfabetizado,Alfabetização incompleta,Muito crítico,Crítico,Intermediário,Adequado,Suficiente,Desejável,H 01 (%),H 02 (%),H 03 (%),H 04 (%),H 05 (%),H 06 (%),H 07 (%),H 08 (%),H 09 (%),H 10 (%),H 11 (%),H 12 (%),H 13 (%),H 14 (%),H 15 (%),H 16 (%),H 17 (%),H 18 (%),H 19 (%),H 20 (%),H 21 (%),H 22 (%),H 23 (%),H 24 (%),H 25 (%),H 26 (%),H 27 (%),H 28 (%),H 29 (%),H 30 (%),H 31 (%),H 32 (%),H 33 (%),H 34 (%),H 35 (%),H 36 (%),H 37 (%)
AQUIRAZ,2° Ano,Língua Portuguesa,1086,1110,102%,163,,"2,0%","7,0%",,,15%,,18%,58%,95,91,88,89,76,75,88,92,90,78,83,64,63,54,53,53,61,87,82,,,,,,,,,,,,,,,,,,
CAUCAIA,2° Ano,Língua Portuguesa,3743,3775,101%,156,,"4,0%","10,0%",,,16%,,17%,53%,96,89,89,86,74,64,87,89,84,74,78,61,60,51,50,50,60,78,72,,,,,,,,,,,,,,,,,,
EUSEBIO,2° Ano,Língua Portuguesa,988,1019,103%,218,,"0,0%","0,0%",,,2%,,7%,90%,100,98,96,97,97,86,96,99,98,91,97,89,87,80,79,77,84,96,94,,,,,,,,,,,,,,,,,,
GUAIUBA,2° Ano,Língua Portuguesa,329,330,100%,167,,"2,0%","5,0%",,,13%,,20%,61%,99,90,98,92,87,71,88,91,90,85,85,64,66,56,50,54,64,77,79,,,,,,,,,,,,,,,,,,
ITAITINGA,2° Ano,Língua Portuguesa,679,697,103%,187,,"1,0%","5,0%",,,11%,,13%,70%,97,96,92,95,82,79,91,94,91,80,86,77,75,64,61,62,70,91,85,,,,,,,,,,,,,,,,,,
MARACANAU,2° Ano,Língua Portuguesa,2774,2861,103%,170,,"2,0%","6,0%",,,14%,,16%,62%,96,91,89,89,83,66,90,92,89,80,83,67,66,56,55,57,66,88,75,,,,,,,,,,,,,,,,,,
MARANGUAPE,2° Ano,Língua Portuguesa,1188,1210,102%,168,,"1,0%","9,0%",,,13%,,18%,59%,95,93,89,93,82,78,92,93,90,75,82,65,66,54,52,52,62,83,79,,,,,,,,,,,,,,,,,,
PACATUBA,2° Ano,Língua Portuguesa,886,920,104%,157,,"3,0%","11,0%",,,18%,,17%,51%,96,93,90,89,76,68,90,91,86,67,77,57,59,49,51,50,59,70,77,,,,,,,,,,,,,,,,,,
AQUIRAZ,5° Ano,Língua Portuguesa,1100,1133,103%,218,,,,"4,0%","20,0%","29,0%","47,0%",,,65,70,60,61,55,65,71,54,57,70,54,53,51,51,74,,,,,,,,,,,,,,,,,,,,,,
CAUCAIA,5° Ano,Língua Portuguesa,4289,4352,101%,208,,,,"5,0%","25,0%","31,0%","39,0%",,,61,64,51,55,52,61,66,50,53,66,50,50,46,48,69,,,,,,,,,,,,,,,,,,,,,,
