Município,Etapa,Componente Curricular,Previstos,Avaliados,Avaliados  entre os previstos,Proficiência média 2023,Proficiência média 2022,Não alfabetizado,Alfabetização incompleta,Muito crítico,Crítico,Intermediário,Adequado,Suficiente,Desejável,H 01 ,H 02 ,H 03 ,H 04 ,H 05 ,H 06 ,H 07 ,H 08 ,H 09 ,H 10 ,H 11 ,H 12 ,H 13 ,H 14 ,H 15 ,H 16 ,H 17 ,H 18 ,H 19 ,H 20 ,H 21 ,H 22 ,H 23 ,H 24 ,H 25 ,H 26 ,H 27 ,H 28 ,H 29 ,H 30 ,H 31 ,H 32 ,H 33 ,H 34 ,H 35 ,H 36 ,H 37 
AQUIRAZ,2° Ano,Língua Portuguesa,1308,1206,92,224,163,0,0,0,0,2,0,5,93,95,93,97,87,86,77,81,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQUIRAZ,5° Ano,Língua Portuguesa,1117,1048,94,232,218,0,0,2,12,29,57,0,0,70,72,61,75,73,66,68,60,70,76,71,68,60,62,89,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQUIRAZ,5° Ano,Matemática,1117,1048,94,227,216,0,0,4,28,36,33,0,0,61,60,54,67,59,51,35,34,34,44,44,53,69,59,53,69,37,49,49,32,74,90,20,62,0,0,0,0,0,0,0,0,0,0,0,0,0
AQUIRAZ,9° Ano,Língua Portuguesa,1161,1095,94,250,250,0,0,19,29,34,18,0,0,69,50,47,69,70,65,79,60,55,63,56,55,48,69,61,57,57,65,53,50,72,55,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQUIRAZ,9° Ano,Matemática,1161,1094,94,243,244,0,0,38,40,18,5,0,0,24,58,23,57,44,51,40,41,48,41,41,26,29,24,45,28,36,71,33,46,27,20,65,43,50,40,48,35,47,65,35,57,22,28,30,22,47
CAUCAIA,2° Ano,Língua Portuguesa,4336,4069,94,187,156,0,1,0,0,6,0,13,80,87,84,90,74,68,63,63,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCAIA,5° Ano,Língua Portuguesa,4096,3862,94,208,208,0,0,5,24,33,39,0,0,60,63,49,65,61,56,59,54,62,66,57,52,50,51,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCAIA,5° Ano,Matemática,4096,3861,94,206,201,0,0,10,39,35,16,0,0,53,46,40,54,44,42,32,26,30,37,38,46,58,51,47,60,32,37,36,24,61,80,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCAIA,9° Ano,Língua Portuguesa,4356,4081,94,245,249,0,0,21,31,34,14,0,0,66,45,47,66,69,64,79,57,51,62,55,52,49,66,59,54,53,61,50,53,69,54,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCAIA,9° Ano,Matemática,4356,4078,94,236,235,0,0,45,36,16,3,0,0,26,51,22,51,40,47,37,39,36,38,36,27,26,19,41,27,36,70,37,47,22,21,57,42,47,37,49,31,45,66,33,52,22,26,29,21,38
EUSEBIO,2° Ano,Língua Portuguesa,1142,1103,97,230,218,0,0,0,0,1,0,2,97,96,98,97,90,88,83,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUSEBIO,5° Ano,Língua Portuguesa,992,971,98,244,253,0,0,2,8,23,68,0,0,75,80,70,80,76,70,72,64,76,78,74,75,68,70,92,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUSEBIO,5° Ano,Matemática,992,970,98,257,267,0,0,2,12,29,57,0,0,75,79,77,73,71,61,57,40,50,67,57,70,79,68,61,79,50,58,58,56,81,91,36,73,0,0,0,0,0,0,0,0,0,0,0,0,0
EUSEBIO,9° Ano,Língua Portuguesa,1138,1118,98,271,278,0,0,10,20,42,28,0,0,77,68,56,79,81,70,87,69,58,73,65,66,63,78,73,68,63,73,60,60,78,62,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUSEBIO,9° Ano,Matemática,1138,1118,98,269,275,0,0,24,27,32,16,0,0,32,65,26,68,54,64,50,58,61,56,48,40,38,23,53,34,44,79,46,57,42,36,69,56,50,46,55,57,60,79,53,60,32,49,40,25,45
GUAIUBA,2° Ano,Língua Portuguesa,274,263,96,191,167,0,1,0,0,8,0,10,82,88,82,89,80,73,67,64,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAIUBA,5° Ano,Língua Portuguesa,338,329,97,212,215,0,0,7,20,32,41,0,0,63,60,52,65,61,59,59,54,63,66,57,59,51,52,80,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAIUBA,5° Ano,Matemática,338,328,97,214,214,0,0,8,34,36,22,0,0,52,48,45,60,56,44,34,25,31,37,43,55,64,53,48,70,35,40,39,34,62,81,20,64,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAIUBA,9° Ano,Língua Portuguesa,384,352,92,251,253,0,0,17,28,39,16,0,0,74,47,51,69,74,70,81,54,51,63,56,60,54,64,66,58,52,63,50,57,72,54,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAIUBA,9° Ano,Matemática,384,350,91,243,245,0,0,40,33,23,5,0,0,25,56,22,52,42,52,44,40,49,42,40,24,25,20,42,22,42,68,38,48,23,22,58,44,50,42,48,34,48,69,38,53,23,23,30,21,38
ITAITINGA,2° Ano,Língua Portuguesa,820,790,96,223,187,0,0,0,0,2,0,4,94,94,92,96,89,86,77,81,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
