Município,Etapa,Componente Curricular,Ano,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,Não Alfabetizado,Alfabetização Incompleta,Muito Crítico,Crítico,Intermediário,Adequado,Suficiente,Desejável,Alunos Previstos,Alunos Efetivos,Percentual de Participação,Taxa de Participação,Proficiência Padronizada,N° de Alunos no Não Alfabetizado,N° de Alunos no Alfabetização Incompleta,N° de Alunos Muito Crítico,N° de Alunos no Crítico,N° de Alunos no Intermediário,N° de Alunos no Adequado,N° de Alunos no Suficiente,N° de Alunos no Desejável,Média CREDE
AQUIRAZ,2° Ano,Língua Portuguesa,2012,160.3,43.1,Desejável,1.8,5.4,0,0,14,0,19.2,59.5,924,885,95.8,0.96,8.01,16,48,0,0,124,0,170,527,161.63
CAUCAIA,2° Ano,Língua Portuguesa,2012,147.2,41.5,Suficiente,3.2,8.4,0,0,19.8,0,23.4,45.2,4205,3831,91.1,0.91,7.36,124,322,0,0,758,0,895,1732,161.63
EUSEBIO,2° Ano,Língua Portuguesa,2012,175.1,35.3,Desejável,0.1,1.1,0,0,4,0,18.2,76.5,823,795,96.6,0.97,8.75,1,9,0,0,32,0,145,608,161.63
GUAIUBA,2° Ano,Língua Portuguesa,2012,160.7,34.6,Desejável,1.2,2.9,0,0,10.6,0,20.3,65,433,414,95.6,0.96,8.04,5,12,0,0,44,0,84,269,161.63
ITAITINGA,2° Ano,Língua Portuguesa,2012,178.7,49.1,Desejável,0.6,1.8,0,0,9.4,0,19.6,68.6,569,545,95.8,0.96,8.94,3,10,0,0,51,0,107,374,161.63
MARACANAU,2° Ano,Língua Portuguesa,2012,155.5,43.2,Desejável,1.5,6.3,0,0,17,0,21.9,53.3,2627,2540,96.7,0.97,7.78,38,161,0,0,432,0,556,1353,161.63
MARANGUAPE,2° Ano,Língua Portuguesa,2012,161.9,40.4,Desejável,1,4.6,0,0,13,0,20,61.5,1267,1238,97.7,0.98,8.09,12,57,0,0,161,0,247,761,161.63
PACATUBA,2° Ano,Língua Portuguesa,2012,153.6,33.9,Desejável,1.4,5,0,0,12.6,0,24.5,56.5,839,807,96.2,0.96,7.68,11,40,0,0,102,0,198,456,161.63
AQUIRAZ,5° Ano,Língua Portuguesa,2012,212.53,40.2,Intermediário,0,0,0.91,16.63,44.57,37.89,0,0,1364,1317,96.55,0.97,6.88,0,0,12,219,587,499,0,0,200.98
CAUCAIA,5° Ano,Língua Portuguesa,2012,190.32,43.4,Intermediário,0,0,4.5,36.15,37.97,21.38,0,0,4958,4625,93.28,0.93,5.77,0,0,208,1672,1756,989,0,0,200.98
EUSEBIO,5° Ano,Língua Portuguesa,2012,218.71,46.4,Intermediário,0,0,1,17.87,38.73,42.4,0,0,950,901,94.84,0.95,7.19,0,0,9,161,349,382,0,0,200.98
GUAIUBA,5° Ano,Língua Portuguesa,2012,191.49,42,Intermediário,0,0,4.45,33.72,39.58,22.25,0,0,447,427,95.53,0.96,5.82,0,0,19,144,169,95,0,0,200.98
ITAITINGA,5° Ano,Língua Portuguesa,2012,196.91,43.1,Intermediário,0,0,4.4,27.72,39.38,28.5,0,0,787,772,98.09,0.98,6.1,0,0,34,214,304,220,0,0,200.98
MARACANAU,5° Ano,Língua Portuguesa,2012,203.68,42.4,Intermediário,0,0,2.17,24.65,41.94,31.24,0,0,3125,3035,97.12,0.97,6.43,0,0,66,748,1273,948,0,0,200.98
MARANGUAPE,5° Ano,Língua Portuguesa,2012,195.79,43.9,Intermediário,0,0,2.9,32.37,38.74,26,0,0,1588,1554,97.86,0.98,6.04,0,0,45,503,602,404,0,0,200.98
PACATUBA,5° Ano,Língua Portuguesa,2012,198.4,42.3,Intermediário,0,0,3.65,27.97,40.92,27.45,0,0,994,958,96.38,0.96,6.17,0,0,35,268,392,263,0,0,200.98
AQUIRAZ,5° Ano,Matemática,2012,223.4,39.2,Intermediário,0,0,3.2,25.1,46.5,25.2,0,0,1364,1317,96.6,0.97,6.17,0,0,42,330,613,332,0,0,208.91
